srch_id,choice_type,chosen_row_id,best_score,threshold_used,ai_reason
1,HOTEL,15,0.7933152173913047,0.73,"Selected for strongest quality-value tradeoff: star 4, review 4, price $153."
75,HOTEL,2,0.7595744288872514,0.73,"Selected for strongest quality-value tradeoff: star 3, review 4, price $71."
101,NO_PURCHASE,NO_PURCHASE,0.6599781758107991,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
218,HOTEL,1,0.8,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $143."
236,HOTEL,1,0.9627131782945737,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $102."
325,NO_PURCHASE,NO_PURCHASE,0.5559999999999999,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
419,HOTEL,4,0.823,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $71."
1069,HOTEL,3,0.8,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $63."
1297,HOTEL,4,0.7880306513409963,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $132."
1555,HOTEL,2,0.7796666666666667,0.73,"Selected for strongest quality-value tradeoff: star 4, review 4, price $77."
1857,HOTEL,1,0.7617543859649122,0.73,"Selected for strongest quality-value tradeoff: star 4, review 4, price $49."
1893,NO_PURCHASE,NO_PURCHASE,0.6787104247104248,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
1961,HOTEL,23,0.7773478260869565,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $80."
1964,HOTEL,18,0.9583333333333333,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $170."
1992,HOTEL,10,0.8958736842105263,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $99."
2178,HOTEL,9,0.7896923076923077,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $84."
2180,HOTEL,5,0.8947764705882354,0.73,"Selected for strongest quality-value tradeoff: star 3, review 4, price $68."
2222,NO_PURCHASE,NO_PURCHASE,0.513212669683258,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
2353,HOTEL,6,0.8262314814814815,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $93."
2460,NO_PURCHASE,NO_PURCHASE,0.7089655172413794,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
2943,HOTEL,5,0.8373308823529412,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $93."
2997,HOTEL,11,0.73,0.73,"Selected for strongest quality-value tradeoff: star 2, review 4, price $50."
3346,HOTEL,5,0.8450000000000001,0.73,"Selected for strongest quality-value tradeoff: star 3, review 4, price $79."
3556,NO_PURCHASE,NO_PURCHASE,0.606,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
3946,HOTEL,2,0.75,0.73,"Selected for strongest quality-value tradeoff: star 2, review 3, price $44."
4079,HOTEL,27,0.8620000000000001,0.73,"Selected for strongest quality-value tradeoff: star 5, review 5, price $179."
4084,HOTEL,2,0.8450000000000001,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $99."
4256,HOTEL,2,0.8333333333333334,0.73,"Selected for strongest quality-value tradeoff: star 4, review 5, price $114."
4314,HOTEL,3,1.0922352941176472,0.73,"Selected for strongest quality-value tradeoff: star 5, review 5, price $217."
4716,NO_PURCHASE,NO_PURCHASE,0.6440306382978724,0.73,Chose NO_PURCHASE because none of the displayed hotels was attractive enough relative to the outside option.
4762,HOTEL,2,0.8661921458625527,0.73,"Selected for strongest quality-value tradeoff: star 4, review 4, price $109."
4849,HOTEL,3,0.7715000000000001,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $55."
4919,HOTEL,6,0.9297777777777777,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $72."
4939,HOTEL,11,0.7346666666666667,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $103."
5214,HOTEL,8,0.8632941176470589,0.73,"Selected for strongest quality-value tradeoff: star 3, review 5, price $135."
