srch_id,predicted_choice
7598,16
19025,6
22049,2
29066,13
32894,15
35595,13
41571,6
42767,11
55398,NO_PURCHASE
59721,NO_PURCHASE
64008,13
71747,6
75707,3
76449,8
81735,2
83996,17
85624,11
86034,5
86625,NO_PURCHASE
91060,8
91573,3
92319,5
99598,2
101161,2
108866,6
114992,7
123010,10
125091,31
135295,17
135400,24
138462,14
142768,3
147197,14
147760,7
153461,11
155921,3
156923,24
160553,1
160679,11
165343,1
169705,24
170739,NO_PURCHASE
172396,11
174796,15
180676,4
183889,3
185390,NO_PURCHASE
191878,3
197625,11
207421,29
