srch_id,predicted_choice
404307,28
404414,1
404639,NO_PURCHASE
406069,2
407455,16
409667,5
410386,19
414298,11
417248,11
419618,11
420867,1
423434,3
425318,NO_PURCHASE
426293,3
426639,NO_PURCHASE
427236,1
429498,20
431636,1
433423,1
434681,27
435067,NO_PURCHASE
437754,17
458927,17
459227,27
463684,6
463945,2
464227,27
464946,NO_PURCHASE
465878,1
469226,2
469874,23
471117,1
503092,1
505819,4
512144,14
518237,2
518281,4
519150,7
523728,4
524368,1
525548,11
529526,3
529968,NO_PURCHASE
531577,14
538174,8
549826,10
553976,NO_PURCHASE
556351,2
560453,13
565702,5
