srch_id,predicted_choice
573689,14
583853,4
585532,7
586537,5
594402,22
594669,NO_PURCHASE
594843,3
595626,6
595768,4
596965,16
609252,23
610232,NO_PURCHASE
610760,19
610939,10
611238,7
611357,2
611477,30
611802,14
611849,4
611913,1
612708,11
613106,13
613316,1
614370,1
614459,26
615090,7
615600,11
616510,NO_PURCHASE
616526,29
616845,25
617162,15
617875,16
619173,1
619595,3
619883,1
620250,5
620450,10
621544,5
621764,4
622710,7
623522,1
623863,34
625836,NO_PURCHASE
626031,10
626499,8
626509,2
626840,9
626896,2
626906,NO_PURCHASE
627434,2
