srch_id,predicted_choice
215646,14
216462,4
224455,9
227701,7
229510,1
233306,4
249630,1
251542,2
253511,8
259133,9
260762,18
261759,22
261947,14
266573,3
270953,22
278431,NO_PURCHASE
286742,27
287060,19
287534,19
292595,18
293690,27
295737,1
307004,5
307674,15
312063,7
319188,2
319748,9
324226,4
326973,17
329236,8
332136,2
334753,11
339921,11
342358,3
343514,12
344267,12
345123,2
346107,5
359383,8
361028,5
371413,2
379644,NO_PURCHASE
380123,3
382092,4
383524,4
389127,1
390943,18
400258,1
401312,6
402214,2
